,question,answer,domain
10,What is (are) aerodynamics?,"is the study of the motion of air, particularly with respect to its interaction with a solid object, such as an airplane wing. Aerodynamics is a sub-field of gas dynamics, which in turn is a sub-field of fluid dynamics. Many aspects and principles of aerodynamics theory are common to these three fields.",engineering
11,What is (are) aeroelasticity?,"is the branch of physics and engineering that studies the interactions between the inertial, elastic, and aerodynamic forces that occur when an elastic body is exposed to a fluid flow. Although historical studies have been focused on aeronautical applications, recent research has found applications in fields such as energy harvesting and understanding snoring. The study of aeroelasticity may be broadly classified into two fields: static aeroelasticity, which deals with the static or steady response of an elastic body to a fluid flow; and dynamic aeroelasticity, which deals with the body's dynamic (typically vibrational) response. Aeroelasticity draws on the study of fluid mechanics, solid mechanics, structural dynamics and dynamical systems. The synthesis of aeroelasticity with thermodynamics is known as aerothermoelasticity, and its synthesis with control theory is known as aeroservoelasticity.",engineering
12,What is (are) aeronautics?,"is the science or art involved with the study, design, and manufacturing of air flight capable machines, and the techniques of operating aircraft and rockets within the atmosphere.",engineering
13,What is (are) aerospace architecture?,"is broadly defined to encompass architectural design of non-habitable and habitable structures and living and working environments in aerospace-related facilities, habitats, and vehicles. These environments include, but are not limited to: science platform aircraft and aircraft-deployable systems; space vehicles, space stations, habitats and lunar and planetary surface construction bases; and Earth-based control, experiment, launch, logistics, payload, simulation and test facilities. Earth analogs to space applications may include Antarctic, desert, high altitude, underground, undersea environments and closed ecological systems.",engineering
14,What is (are) aerospace bearing?,"Aerospace bearings are the bearings installed in aircraft and aerospace systems including commercial, private, military, or space applications.",engineering
15,What is (are) aerospace engineering?,"is the primary field of engineering concerned with the development of aircraft and spacecraft. It has two major and overlapping branches: Aeronautical engineering and Astronautical Engineering. Avionics engineering is similar, but deals with the electronics side of aerospace engineering.",engineering
16,What is (are) aerospace materials?,"are materials, frequently metal alloys, that have either been developed for, or have come to prominence through, their use for aerospace purposes. These uses often require exceptional performance, strength or heat resistance, even at the cost of considerable expense in their production or machining. Others are chosen for their long-term reliability in this safety-conscious field, particularly for their resistance to fatigue.",engineering
17,What is (are) aerospike engine?,"is a type of rocket engine that maintains its aerodynamic efficiency across a wide range of altitudes. It belongs to the class of altitude compensating nozzle engines. A vehicle with an aerospike engine uses 25–30% less fuel at low altitudes, where most missions have the greatest need for thrust.",engineering
18,What is (are) aerostat?,is a lighter than air aircraft that gains its lift through the use of a buoyant gas. Aerostats include unpowered balloons and powered airships.,engineering
19,What is (are) aerostructure?,"is a component of an aircraft's airframe. This may include all or part of the fuselage, wings, or flight control surfaces.",engineering
20,What is (are) aft-crossing trajectory?,"is an alternate flight path for a rocket. The rocket's rotation (induced by the deployment from the aircraft) is slowed by a small parachute attached to its tail, then ignited once the carrier aircraft has passed it. It is ignited before it is pointing fully vertically, however it will turn to do so, and accelerates to pass behind the carrier aircraft.",engineering
21,What is (are) aileron?,"is a hinged flight control surface usually forming part of the trailing edge of each wing of a fixed-wing aircraft. Ailerons are used in pairs to control the aircraft in roll (or movement around the aircraft's longitudinal axis), which normally results in a change in flight path due to the tilting of the lift vector. Movement around this axis is called 'rolling' or 'banking'.",engineering
22,What is (are) aircraft?,"is a machine that is able to fly by gaining support from the air. It counters the force of gravity by using either static lift or by using the dynamic lift of an airfoil, or in a few cases the downward thrust from jet engines. Common examples of aircraft include airplanes, helicopters, airships (including blimps), gliders, and hot air balloons.",engineering
23,What is (are) aircraft flight control systems?,"A conventional fixed-wing aircraft flight control system consists of flight control surfaces, the respective cockpit controls, connecting linkages, and the necessary operating mechanisms to control an aircraft's direction in flight. Aircraft engine controls are also considered as flight controls as they change speed.",engineering
24,What is (are) airlock?,is a device which permits the passage of people and objects between a pressure vessel and its surroundings while minimizing the change of pressure in the vessel and loss of air from it. The lock consists of a small chamber with two airtight doors in series which do not open simultaneously.,engineering
25,What is (are) airship?,An airship or dirigible balloon is a type of aerostat or lighter-than-air aircraft that can navigate through the air under its own power. Aerostats gain their lift from large gas bags filled with a lifting gas that is less dense than the surrounding air.,engineering
26,What is (are) albedo?,is the measure of the diffuse reflection of solar radiation out of the total solar radiation received by an astronomical body (e.g. a planet like Earth). It is dimensionless and measured on a scale from 0 (corresponding to a black body that absorbs all incident radiation) to 1 (corresponding to a body that reflects all incident radiation).,engineering
27,What is (are) anemometer?,"is a device used for measuring wind speed, and is also a common weather station instrument. The term is derived from the Greek word anemos, which means wind, and is used to describe any wind speed instrument used in meteorology.",engineering
28,What is (are) angle of attack?,"In fluid dynamics, angle of attack (AOA, or ) is the angle between a reference line on a body (often the chord line of an airfoil) and the vector representing the relative motion between the body and the fluid through which it is moving. Angle of attack is the angle between the body's reference line and the oncoming flow.",engineering
29,What is (are) angular momentum?,"In physics, angular momentum (rarely, moment of momentum or rotational momentum) is the rotational equivalent of linear momentum. It is an important quantity in physics because it is a conserved quantity—the total angular momentum of a system remains constant unless acted on by an external torque.",engineering
30,What is (are) angular velocity?,"In physics, the angular velocity of a particle is the rate at which it rotates around a chosen center point: that is, the time rate of change of its angular displacement relative to the origin (i.e. in layman's terms: how quickly an object goes around something over a period of time: e.g. how fast the earth orbits the sun). It is measured in angle per unit time, radians per second in SI units, and is usually represented by the symbol omega (ω, sometimes Ω). By convention, positive angular velocity indicates counter-clockwise rotation, while negative is clockwise.",engineering
31,What is (are) anticyclone?,"An anticyclone (that is, opposite to a cyclone) is a weather phenomenon defined by the United States National Weather Service's glossary as ""a large-scale circulation of winds around a central region of high atmospheric pressure, clockwise in the Northern Hemisphere, counterclockwise in the Southern Hemisphere"".",engineering
32,What is (are) antimatter rocket?,"is a proposed class of rockets that use antimatter as their power source. There are several designs that attempt to accomplish this goal. The advantage to this class of rocket is that a large fraction of the rest mass of a matter/antimatter mixture may be converted to energy, allowing antimatter rockets to have a far higher energy density and specific impulse than any other proposed class of rocket.",engineering
33,What is (are) apsis?,"is an extreme point in the orbit of an object. The word comes via Latin from Greek and is cognate with apse. For elliptic orbits about a larger body, there are two apsides, named with the prefixes peri- (from περί (peri) 'near') and ap-/apo- (from ἀπ(ό) (ap(ó)) 'away from') added to a reference to the body being orbited.",engineering
34,What is (are) arcjet rocket?,"or arcjet thruster is a form of electrically powered spacecraft propulsion, in which an electrical discharge (arc) is created in a flow of propellant (typically hydrazine or ammonia). This imparts additional energy to the propellant, so that one can extract more work out of each kilogram of propellant, at the expense of increased power consumption and (usually) higher cost. Also, the thrust levels available from typically used arcjet engines are very low compared with chemical engines.",engineering
35,What is (are) areal velocity?,"In classical mechanics, areal velocity (also called sector velocity or sectorial velocity) is the rate at which area is swept out by a particle as it moves along a curve.",engineering
36,What is (are) argument of periapsis?,"(also called argument of perifocus or argument of pericenter), symbolized as ω, is one of the orbital elements of an orbiting body. Parametrically, ω is the angle from the body's ascending node to its periapsis, measured in the direction of motion.",engineering
37,What is (are) aspect ratio (aeronautics)?,"In aeronautics, the aspect ratio of a wing is the ratio of its span to its mean chord. It is equal to the square of the wingspan divided by the wing area. Thus, a long, narrow wing has a high aspect ratio, whereas a short, wide wing has a low aspect ratio. Aspect ratio and other features of the planform are often used to predict the aerodynamic efficiency of a wing because the lift-to-drag ratio increases with aspect ratio, improving fuel economy in aircraft.",engineering
38,What is (are) asteroid?,"Asteroids are minor planets, especially of the inner Solar System. Larger asteroids have also been called planetoids. These terms have historically been applied to any astronomical object orbiting the Sun that did not resemble a planet-like disc and was not observed to have characteristics of an active comet such as a tail. As minor planets in the outer Solar System were discovered they were typically found to have volatile-rich surfaces similar to comets. As a result, they were often distinguished from objects found in the main asteroid belt.",engineering
39,What is (are) astrodynamics?,Orbital mechanics or astrodynamics is the application of ballistics and celestial mechanics to the practical problems concerning the motion of rockets and other spacecraft.,engineering
40,What is (are) atmospheric entry?,"is the movement of an object from outer space into and through the gases of an atmosphere of a planet, dwarf planet or natural satellite. There are two main types of atmospheric entry: uncontrolled entry, such as the entry of astronomical objects, space debris or bolides; and controlled entry (or reentry) of a spacecraft capable of being navigated or following a predetermined course. Technologies and procedures allowing the controlled atmospheric entry, descent and landing of spacecraft are collectively termed as EDL.",engineering
41,What is (are) attitude control?,"is controlling the orientation of an object with respect to an inertial frame of reference or another entity like the celestial sphere, certain fields, and nearby objects, etc. Controlling vehicle attitude requires sensors to measure vehicle orientation, actuators to apply the torques needed to re-orient the vehicle to a desired attitude, and algorithms to command the actuators based on (1) sensor measurements of the current attitude and (2) specification of a desired attitude. The integrated field that studies the combination of sensors, actuators and algorithms is called ""Guidance, Navigation and Control"" (GNC).",engineering
42,What is (are) automatic direction finder?,(ADF) is a marine or aircraft radio-navigation instrument that automatically and continuously displays the relative bearing from the ship or aircraft to a suitable radio station.,engineering
43,What is (are) avionics?,"are the electronic systems used on aircraft, artificial satellites, and spacecraft. Avionic systems include communications, navigation, the display and management of multiple systems, and the hundreds of systems that are fitted to aircraft to perform individual functions.",engineering
44,What is (are) axial stress?,a normal stress parallel to the axis of cylindrical symmetry.,engineering
45,What is (are) balloon?,"In aeronautics, a balloon is an unpowered aerostat, which remains aloft or floats due to its buoyancy. A balloon may be free, moving with the wind, or tethered to a fixed point. It is distinct from an airship, which is a powered aerostat that can propel itself through the air in a controlled manner.",engineering
46,What is (are) ballute?,"(a portmanteau of balloon and parachute) is a parachute-like braking device optimized for use at high altitudes and supersonic velocities. Invented by Goodyear in 1958, the original ballute was a cone-shaped balloon with a toroidal burble fence fitted around its widest point. A burble fence is an inflated structure intended to ensure flow separation.",engineering
47,What is (are) beam-powered propulsion?,"also known as directed energy propulsion, is a class of aircraft or spacecraft propulsion that uses energy beamed to the spacecraft from a remote power plant to provide energy. The beam is typically either a microwave or a laser beam and it is either pulsed or continuous. A continuous beam lends itself to thermal rockets, photonic thrusters and light sails, whereas a pulsed beam lends itself to ablative thrusters and pulse detonation engines.",engineering
48,What is (are) bearing?,"In navigation, bearing is the horizontal angle between the direction of an object and another object, or between it and that of true north. Absolute bearing refers to the angle between the magnetic North (magnetic bearing) or true North (true bearing) and an object. For example, an object to the East would have an absolute bearing of 90 degrees. Relative bearing refers to the angle between the craft's forward direction, and the location of another object. For example, an object relative bearing of 0 degrees would be dead ahead; an object relative bearing 180 degrees would be behind. Bearings can be measured in mils or degrees.",engineering
49,What is (are) bernoulli's principle?,"In fluid dynamics, Bernoulli's principle states that an increase in the speed of a fluid occurs simultaneously with a decrease in pressure or a decrease in the fluid's potential energy.: Ch.3 : 156–164, § 3.5",engineering
50,What is (are) bi-elliptic transfer?,"is an orbital maneuver that moves a spacecraft from one orbit to another and may, in certain situations, require less delta-v than a Hohmann transfer maneuver. The bi-elliptic transfer consists of two half-elliptic orbits. From the initial orbit, a first burn expends delta-v to boost the spacecraft into the first transfer orbit with an apoapsis at some point away from the central body. At this point a second burn sends the spacecraft into the second elliptical orbit with periapsis at the radius of the final desired orbit, where a third burn is performed, injecting the spacecraft into the desired orbit.",engineering
51,What is (are) big dumb booster?,"(BDB), is a general class of launch vehicle based on the premise that it is cheaper to operate large rockets of simple design than it is to operate smaller, more complex ones regardless of the lower payload efficiency.",engineering
52,What is (are) bleed air?,"produced by gas turbine engines is compressed air that is taken from the compressor stage of those engines, which is upstream of the fuel-burning sections.",engineering
53,What is (are) booster?,"A booster rocket (or engine) is either the first stage of a multistage launch vehicle, or else a shorter-burning rocket used in parallel with longer-burning sustainer rockets to augment the space vehicle's takeoff thrust and payload capability.",engineering
54,What is (are) boundary layer?,"In physics and fluid mechanics, a boundary layer is an important concept and refers to the layer of fluid in the immediate vicinity of a bounding surface where the effects of viscosity are significant. In the Earth's atmosphere, the atmospheric boundary layer is the air layer near the ground affected by diurnal heat, moisture or momentum transfer to or from the surface. On an aircraft wing the boundary layer is the part of the flow close to the wing, where viscous forces distort the surrounding non-viscous flow.",engineering
55,What is (are) buoyancy?,"In physics, buoyancy or upthrust, is an upward force exerted by a fluid that opposes the weight of an immersed object. In a column of fluid, pressure increases with depth as a result of the weight of the overlying fluid. Thus the pressure at the bottom of a column of fluid is greater than at the top of the column. Similarly, the pressure at the bottom of an object submerged in a fluid is greater than at the top of the object. This pressure difference results in a net upwards force on the object. The magnitude of that force exerted is proportional to that pressure difference, and (as explained by Archimedes' principle) is equivalent to the weight of the fluid that would otherwise occupy the volume of the object, i.e. the displaced fluid.",engineering
56,What is (are) cabin pressurization?,"is a process in which conditioned air is pumped into the cabin of an aircraft or spacecraft, in order to create a safe and comfortable environment for passengers and crew flying at high altitudes. For aircraft, this air is usually bled off from the gas turbine engines at the compressor stage, and for spacecraft, it is carried in high-pressure, often cryogenic tanks. The air is cooled, humidified, and mixed with recirculated air if necessary, before it is distributed to the cabin by one or more environmental control systems. The cabin pressure is regulated by the outflow valve.",engineering
57,What is (are) cable lacing?,"is a method for tying wiring harnesses and cable looms, traditionally used in telecommunication, naval, and aerospace applications. This old cable management technique, taught to generations of linemen, is still used in some modern applications since it does not create obstructions along the length of the cable, avoiding the handling problems of cables groomed by plastic or hook-and-loop cable ties.",engineering
58,What is (are) camber?,"the asymmetric curves on the top and bottom, or front and back, of an aerofoil",engineering
59,What is (are) canard?,"is an aeronautical arrangement wherein a small forewing or foreplane is placed forward of the main wing of a fixed-wing aircraft. The term ""canard"" may be used to describe the aircraft itself, the wing configuration or the foreplane.",engineering
60,What is (are) center of gravity?,"A body's center of gravity is the point around which the resultant torque due to gravity forces vanishes. Where a gravity field can be considered to be uniform, the mass-center and the center-of-gravity will be the same. However, for satellites in orbit around a planet, in the absence of other torques being applied to a satellite, the slight variation (gradient) in gravitational field between closer-to (stronger) and further-from (weaker) the planet can lead to a torque that will tend to align the satellite such that its long axis is vertical. In such a case, it is important to make the distinction between the center-of-gravity and the mass-center. Any horizontal offset between the two will result in an applied torque.",engineering
61,What is (are) center of mass?,"In physics, the center of mass of a distribution of mass in space is the unique point where the weighted relative position of the distributed mass sums to zero, or the point where if a force is applied it moves in the direction of the force without rotating. The distribution of mass is balanced around the center of mass and the average of the weighted position coordinates of the distributed mass defines its coordinates.",engineering
62,What is (are) center of pressure?,"is the point where the total sum of a pressure field acts on a body, causing a force to act through that point.",engineering
63,What is (are) centrifugal compressor?,"Centrifugal compressors, sometimes called radial compressors, are a sub-class of dynamic axisymmetric work-absorbing turbomachinery. They achieve a pressure rise by adding kinetic energy/velocity to a continuous flow of fluid through the rotor or impeller. This kinetic energy is then converted to an increase in potential energy/static pressure by slowing the flow through a diffuser. The pressure rise in the impeller is in most cases almost equal to the rise in the diffuser.",engineering
64,What is (are) chord?,is the imaginary straight line joining the leading and trailing edges of an aerofoil. The chord length is the distance between the trailing edge and the point on the leading edge where the chord intersects the leading edge.,engineering
65,What is (are) clean configuration?,is the flight configuration of a fixed-wing aircraft when its external equipment is retracted to minimize drag and thus maximize airspeed for a given power setting.,engineering
66,What is (are) cockpit?,"or flight deck, is the area, usually near the front of an aircraft or spacecraft, from which a pilot controls the aircraft.",engineering
67,What is (are) collimated beam?,"A collimated beam of light or other electromagnetic radiation has parallel rays, and therefore will spread minimally as it propagates. A perfectly collimated light beam, with no divergence, would not disperse with distance. Such a beam cannot be created, due to diffraction.",engineering
68,What is (are) comet?,"is an icy, small Solar System body that, when passing close to the Sun, warms and begins to release gases, a process called outgassing. This produces a visible atmosphere or coma, and sometimes also a tail.",engineering
69,What is (are) compressibility?,"In thermodynamics and fluid mechanics, compressibility (also known as the coefficient of compressibility or isothermal compressibility) is a measure of the relative volume change of a fluid or solid as a response to a pressure (or mean stress) change. In its simple form, the compressibility may be expressed as",engineering
70,What is (are) compression?,"In mechanics, compression is the application of balanced inward (""pushing"") forces to different points on a material or structure, that is, forces with no net sum or torque directed so as to reduce its size in one or more directions. It is contrasted with tension or traction, the application of balanced outward (""pulling"") forces; and with shearing forces, directed so as to displace layers of the material parallel to each other. The compressive strength of materials and structures is an important engineering consideration.",engineering
71,What is (are) compressor map?,"is a diagram showing significant performance parameters for a rotating compressor, and how they vary with changing ambient conditions of pressure and temperature.",engineering
72,What is (are) computational fluid dynamics?,"(CFD), is a branch of fluid mechanics that uses numerical analysis and data structures to analyze and solve problems that involve fluid flows. Computers are used to perform the calculations required to simulate the free-stream flow of the fluid, and the interaction of the fluid (liquids and gases) with surfaces defined by boundary conditions. With high-speed supercomputers, better solutions can be achieved, and are often required to solve the largest and most complex problems.",engineering
73,What is (are) conservation of momentum?,"The total momentum of objects involved in a collision remains constant regardless of friction and permanent deformation that may occur during the collision. The law of conservation of momentum can be used to analyse the interactions between objects, even in the presence of friction and other non-conservative forces. Conservation of momentum is a consequence of Newton's laws of motion.",engineering
74,What is (are) constant speed drive?,"(CSD), is a type of transmission that takes an input shaft rotating at a wide range of speeds, delivering this power to an output shaft that rotates at a constant speed, despite the varying input. They are used to drive mechanisms, typically electrical generators, that require a constant input speed. The term is most commonly applied to hydraulic transmissions found on the accessory drives of gas turbine engines, such as aircraft jet engines. On modern aircraft, the CSD is often combined with a generator into a single unit known as an integrated drive generator (IDG).",engineering
75,What is (are) control engineering?,"or control systems engineering, is an engineering discipline that applies automatic control theory to design systems with desired behaviors in control environments. The discipline of controls overlaps and is usually taught along with electrical engineering at many institutions around the world.",engineering
76,What is (are) critical mach?,"In aerodynamics, the critical Mach number (Mcr or M* ) of an aircraft is the lowest Mach number at which the airflow over some point of the aircraft reaches the speed of sound, but does not exceed it. At the lower critical Mach number, airflow around the entire aircraft is subsonic. At the upper critical Mach number, airflow around the entire aircraft is supersonic.",engineering
77,What is (are) cylinder stress?,"In mechanics, a cylinder stress is a stress distribution with rotational symmetry; that is, which remains unchanged if the stressed object is rotated about some fixed axis.",engineering
78,What is (are) damage tolerance?,is a property of a structure relating to its ability to sustain defects safely until repair can be effected. The approach to engineering design to account for damage tolerance is based on the assumption that flaws can exist in any structure and such flaws propagate with usage.,engineering
79,What is (are) decalage?,"Decalage on a fixed-wing aircraft is the angle difference between the upper and lower wings of a biplane, i.e. the acute angle contained between the chords of the wings in question. Decalage is said to be positive when the upper wing has a higher angle of incidence than the lower wing, and negative when the lower wing's incidence is greater than that of the upper wing. Positive decalage results in greater lift from the upper wing than the lower wing, the difference increasing with the amount of decalage.",engineering
80,What is (are) dead reckoning?,"In navigation, dead reckoning is the process of calculating one's current position by using a previously determined position, or fix, and advancing that position based upon known or estimated speeds over elapsed time and course.",engineering
81,What is (are) deflection?,is the degree to which a structural element is displaced under a load. It may refer to an angle or a distance.,engineering
82,What is (are) deformation (engineering)?,"In materials science, deformation refers to any changes in the shape or size of an object due to an applied force (the deformation energy, in this case, is transferred through work) or a change in temperature (the deformation energy, in this case, is transferred through heat).",engineering
83,What is (are) deformation (mechanics)?,"in continuum mechanics is the transformation of a body from a reference configuration to a current configuration. A configuration is a set containing the positions of all particles of the body. A deformation may be caused by external loads, body forces (such as gravity or electromagnetic forces), or changes in temperature, moisture content, or chemical reactions, etc.",engineering
84,What is (are) delta-v?,"(literally ""change in velocity""), symbolised as ∆v and pronounced delta-vee, as used in spacecraft flight dynamics, is a measure of the impulse that is needed to perform a maneuver such as launch from, or landing on a planet or moon, or in-space orbital maneuver. It is a scalar that has the units of speed. As used in this context, it is not the same as the physical change in velocity of the vehicle.",engineering
85,What is (are) delta-v budget?,"is an estimate of the total delta-v required for a space mission. It is calculated as the sum of the delta-v required for the propulsive maneuvers during the mission, and as input to the Tsiolkovsky rocket equation, determines how much propellant is required for a vehicle of given mass and propulsion system.",engineering
86,What is (are) delta wing?,"is a wing shaped in the form of a triangle. It is named for its similarity in shape to the Greek uppercase letter delta (Δ). Although long studied, it did not find significant applications until the jet age, when it proved suitable for high-speed subsonic and supersonic flight.",engineering
87,What is (are) departure resistance?,is a quality of an aircraft which enables it to remain in controlled flight and resist entering potentially dangerous less-controlled maneuvers such as spin.,engineering
88,What is (are) derivative?,"The derivative of a function of a real variable measures the sensitivity to change of the function value (output value) with respect to a change in its argument (input value). Derivatives are a fundamental tool of calculus. For example, the derivative of the position of a moving object with respect to time is the object's velocity: this measures how quickly the position of the object changes when time advances.",engineering
89,What is (are) digital datcom?,"The United States Air Force Stability and Control Digital DATCOM is a computer program that implements the methods contained in the USAF Stability and Control DATCOM to calculate the static stability, control and dynamic derivative characteristics of fixed-wing aircraft. Digital DATCOM requires an input file containing a geometric description of an aircraft, and outputs its corresponding dimensionless stability derivatives according to the specified flight conditions. The values obtained can be used to calculate meaningful aspects of flight dynamics.",engineering
90,What is (are) dihedral?,"Dihedral angle is the upward angle from horizontal of the wings or tailplane of a fixed-wing aircraft. ""Anhedral angle"" is the name given to negative dihedral angle, that is, when there is a downward angle from horizontal of the wings or tailplane of a fixed-wing aircraft.",engineering
91,What is (are) disk loading?,"In fluid dynamics, disk loading or disc loading is the average pressure change across an actuator disk, such as an airscrew. Airscrews with a relatively low disk loading are typically called rotors, including helicopter main rotors and tail rotors; propellers typically have a higher disk loading.",engineering
92,What is (are) distance measuring equipment?,"(DME), is a radio navigation technology that measures the slant range (distance) between an aircraft and a ground station by timing the propagation delay of radio signals in the frequency band between 960 and 1215 megahertz (MHz). Line-of-visibility between the aircraft and ground station is required. An interrogator (airborne) initiates an exchange by transmitting a pulse pair, on an assigned ‘channel’, to the transponder ground station. The channel assignment specifies the carrier frequency and the spacing between the pulses. After a known delay, the transponder replies by transmitting a pulse pair on a frequency that is offset from the interrogation frequency by 63 MHz and having specified separation.",engineering
93,What is (are) drag (physics)?,"In fluid dynamics, drag (sometimes called air resistance, a type of friction, or fluid resistance, another type of friction or fluid friction) is a force acting opposite to the relative motion of any object moving with respect to a surrounding fluid. This can exist between two fluid layers (or surfaces) or a fluid and a solid surface. Unlike other resistive forces, such as dry friction, which are nearly independent of velocity, drag forces depend on velocity. Drag force is proportional to the velocity for a laminar flow and the squared velocity for a turbulent flow. Even though the ultimate cause of a drag is viscous friction, the turbulent drag is independent of viscosity. Drag forces always decrease fluid velocity relative to the solid object in the fluid's path.",engineering
94,What is (are) drag coefficient?,"In fluid dynamics, the drag coefficient (commonly denoted as: , or ) is a dimensionless quantity that is used to quantify the drag or resistance of an object in a fluid environment, such as air or water. It is used in the drag equation in which a lower drag coefficient indicates the object will have less aerodynamic or hydrodynamic drag. The drag coefficient is always associated with a particular surface area.",engineering
95,What is (are) drag equation?,"In fluid dynamics, the drag equation is a formula used to calculate the force of drag experienced by an object due to movement through a fully enclosing fluid. The equation is:",engineering
96,What is (are) drop test?,"is a method of testing the in-flight characteristics of prototype or experimental aircraft and spacecraft by raising the test vehicle to a specific altitude and then releasing it. Test flights involving powered aircraft, particularly rocket-powered aircraft, may be referred to as drop launches due to the launch of the aircraft's rockets after release from its carrier aircraft.",engineering
97,What is (are) dual mode propulsion rocket?,"Dual mode propulsion systems combine the high efficiency of bipropellant rockets with the reliability and simplicity of monopropellant rockets. It is based upon the use of two rocket fuels, liquid hydrogen and more dense hydrocarbon fuels, like RP, which are all burned with liquid oxygen.",engineering
98,What is (are) ductility?,"is a measure of a material's ability to undergo significant plastic deformation before rupture, which may be expressed as percent elongation or percent area reduction from a tensile test.",engineering
99,What is (are) earth's atmosphere?,"The atmosphere of Earth is the layer of gases, commonly known as air, that surrounds the planet Earth and is retained by Earth's gravity. The atmosphere of Earth protects life on Earth by creating pressure allowing for liquid water to exist on the Earth's surface, absorbing ultraviolet solar radiation, warming the surface through heat retention (greenhouse effect), and reducing temperature extremes between day and night (the diurnal temperature variation).",engineering
100,What is (are) eccentric anomaly?,"In orbital mechanics, the eccentric anomaly is an angular parameter that defines the position of a body that is moving along an elliptic Kepler orbit. The eccentric anomaly is one of three angular parameters (""anomalies"") that define a position along an orbit, the other two being the true anomaly and the mean anomaly.",engineering
101,What is (are) eccentricity vector?,"In celestial mechanics, the eccentricity vector of a Kepler orbit is the dimensionless vector with direction pointing from apoapsis to periapsis and with magnitude equal to the orbit's scalar eccentricity. For Kepler orbits the eccentricity vector is a constant of motion. Its main use is in the analysis of almost circular orbits, as perturbing (non-Keplerian) forces on an actual orbit will cause the osculating eccentricity vector to change continuously. For the eccentricity and argument of periapsis parameters, eccentricity zero (circular orbit) corresponds to a singularity. The magnitude of the eccentricity vector represents the eccentricity of the orbit. Note that the velocity and position vectors need to be relative to the inertial frame of the central body.",engineering
102,What is (are) eigenvector slew?,"In aerospace engineering, especially those areas dealing with spacecraft, the eigenvector slew is a method to calculate a steering correction (called a slew) by rotating the spacecraft around one fixed axis, or a gimbal. This corresponds in general to the fastest and most efficient way to reach the desired target orientation as there is only one acceleration phase and one braking phase for the angular rate. If this fixed axis is not a principal axis a time varying torque must be applied to force the spacecraft to rotate as desired, though. Also the gyroscopic effect of momentum wheels must be compensated for.",engineering
103,What is (are) electrostatic ion thruster?,is a form of electric propulsion used for spacecraft propulsion. It creates thrust by accelerating ions using electricity.,engineering
104,What is (are) elevator?,"is a flight control surface, usually at the rear of an aircraft, which control the aircraft's pitch, and therefore the angle of attack and the lift of the wing. The elevators are usually hinged to the tailplane or horizontal stabilizer.",engineering
